source,target,value
VILLAVICENCIO - COLOMBIA,PUERTO CARRENO - COLOMBIA,115
RIONEGRO - ANTIOQUIA - COLOMBIA,BOGOTA - COLOMBIA,114
BOGOTA - COLOMBIA,RIONEGRO - ANTIOQUIA - COLOMBIA,110
PUERTO CARRENO - COLOMBIA,VILLAVICENCIO - COLOMBIA,105
LA MACARENA - COLOMBIA,VILLAVICENCIO - COLOMBIA,102
CALI - COLOMBIA,BOGOTA - COLOMBIA,96
BOGOTA - COLOMBIA,CALI - COLOMBIA,95
VILLAVICENCIO - COLOMBIA,LA MACARENA - COLOMBIA,95
BOGOTA - COLOMBIA,BARRANQUILLA - COLOMBIA,93
BARRANQUILLA - COLOMBIA,BOGOTA - COLOMBIA,89
BOGOTA - COLOMBIA,CARTAGENA - COLOMBIA,80
TRINIDAD - COLOMBIA,TRINIDAD - COLOMBIA,80
CARTAGENA - COLOMBIA,BOGOTA - COLOMBIA,79
MITU - COLOMBIA,VILLAVICENCIO - COLOMBIA,78
MEDELLIN - COLOMBIA,BAHIA SOLANO - COLOMBIA,78
BAHIA SOLANO - COLOMBIA,MEDELLIN - COLOMBIA,77
BOGOTA - COLOMBIA,SAN ANDRES - ISLA - COLOMBIA,72
SAN ANDRES - ISLA - COLOMBIA,BOGOTA - COLOMBIA,71
PUERTO GAITAN - COLOMBIA,VILLAVICENCIO - COLOMBIA,69
VILLAVICENCIO - COLOMBIA,MITU - COLOMBIA,69
QUIBDO - COLOMBIA,MEDELLIN - COLOMBIA,68
MEDELLIN - COLOMBIA,QUIBDO - COLOMBIA,67
VILLAVICENCIO - COLOMBIA,PUERTO GAITAN - COLOMBIA,67
SAN JOSE DEL GUAVIARE - COLOMBIA,VILLAVICENCIO - COLOMBIA,64
BAHIA SOLANO - COLOMBIA,QUIBDO - COLOMBIA,61
BOGOTA - COLOMBIA,ARAUCA - MUNICIPIO - COLOMBIA,60
LA PRIMAVERA - COLOMBIA,VILLAVICENCIO - COLOMBIA,59
VILLAVICENCIO - COLOMBIA,SAN JOSE DEL GUAVIARE - COLOMBIA,59
LETICIA - COLOMBIA,BOGOTA - COLOMBIA,59
CALI - COLOMBIA,RIONEGRO - ANTIOQUIA - COLOMBIA,59
BUCARAMANGA - COLOMBIA,BOGOTA - COLOMBIA,58
ARAUCA - MUNICIPIO - COLOMBIA,BOGOTA - COLOMBIA,58
MEDELLIN - COLOMBIA,NUQUI - COLOMBIA,58
VILLAVICENCIO - COLOMBIA,LA PRIMAVERA - COLOMBIA,57
QUIBDO - COLOMBIA,BAHIA SOLANO - COLOMBIA,56
BOGOTA - COLOMBIA,LETICIA - COLOMBIA,55
TRINIDAD - COLOMBIA,EL YOPAL - COLOMBIA,54
EL YOPAL - COLOMBIA,TRINIDAD - COLOMBIA,54
BOGOTA - COLOMBIA,BUCARAMANGA - COLOMBIA,53
MAPIRIPAN - COLOMBIA,VILLAVICENCIO - COLOMBIA,52
NUQUI - COLOMBIA,MEDELLIN - COLOMBIA,52
VILLAVICENCIO - COLOMBIA,BOGOTA - COLOMBIA,52
BOGOTA - COLOMBIA,EL YOPAL - COLOMBIA,51
MITU - COLOMBIA,SAN JOSE DEL GUAVIARE - COLOMBIA,51
VILLAVICENCIO - COLOMBIA,LA URIBE - COLOMBIA,51
VILLAVICENCIO - COLOMBIA,MAPIRIPAN - COLOMBIA,51
LA URIBE - COLOMBIA,VILLAVICENCIO - COLOMBIA,50
SAN ANDRES - ISLA - COLOMBIA,CALI - COLOMBIA,50